feat_idx, meaning, max_value
3435, "as", 22.312366485595703
9120, "there", 23.292463302612305
16665, "The", 26.421466827392578
32892, "In", 20.450380325317383
52875, "A, at the start of sentence", 25.4879150390625
59645, "? - question mark", 27.041263580322266
168, "'.' - period", 15.824077606201172
2709, "a/A", 18.74945640563965
3376, "(", 18.83981704711914
8422, "'.\n' - period followed by newline", 20.774219512939453
10674, "conjunction 'and' linking two ideas", 19.45403289794922
22928, "programming-related terms", 17.723590850830078
25154, "',' - comma", 16.584762573242188
29010, "there", 18.894222259521484
29033, "last digit in year (ie '9' in 'proposed in 1999 as a $75 million')", 19.486974716186523
32309, "But", 19.130155563354492
34370, " in", 18.571823120117188
35075, "' and' - this and that", 17.67379379272461
36676, "' and' - more abstract", 16.739011764526367
36906, "programming-related tokens", 21.850488662719727
37550, "academic - technical terms, latex", 24.206531524658203
45246, " can", 18.336286544799805
47484, " In", 20.0074405670166
48602, "punctuation", 16.844907760620117
55885, "'\n'", 16.855371475219727
59645, "? - question mark in Q&A", 27.041263580322266
63408, "',' - comma", 17.895965576171875
64329, "to", 17.684432983398438
64715, "punctuation", 19.82755470275879
192, " one", 14.440949440002441
481, "for", 11.91738224029541
831, "'\n' - end of header/title", 12.438775062561035
1453, "to be verbs", 13.763710021972656
4163, "you", 10.96664047241211
4255, "when", 13.016266822814941
4581, "start of sentence", 14.304779052734375
4798, ".", 15.558348655700684
5713, "' I' - first person singular pronoun", 15.839278221130371
